generation	clone_id	dN	dS	pN	pS
16501	8	7	7	11	2
16501	9	11	7	13	4
17001	0	11	3	19	6
17001	1	4	5	7	1
17001	2	23	9	23	17
17001	3	9	4	8	1
17001	4	2	4	6	8
17001	5	17	6	5	6
17001	6	17	6	16	6
17001	7	15	12	25	8
17001	8	7	6	10	5
17001	9	12	8	16	6
17501	0	12	3	21	5
17501	1	4	5	5	2
17501	2	22	11	31	16
17501	3	9	4	12	4
17501	4	4	4	5	5
17501	5	16	5	11	8
17501	6	17	5	20	11
17501	7	15	12	23	11
17501	8	7	6	12	7
17501	9	12	8	11	7
18001	0	11	4	21	8
18001	1	3	5	9	5
18001	2	25	13	40	12
18001	3	9	5	6	5
18001	4	4	4	7	10
18001	5	15	7	10	6
18001	6	17	7	31	7
18001	7	15	14	25	6
18001	8	8	7	4	6
18001	9	11	8	6	4
18501	0	12	4	22	4
18501	1	3	6	9	4
18501	2	22	13	29	15
18501	3	9	4	7	7
18501	4	4	5	5	10
18501	5	16	7	13	8
18501	6	16	7	21	10
18501	7	13	14	21	4
18501	8	8	7	9	5
18501	9	12	7	17	6
19001	0	12	4	23	8
19001	1	3	6	7	3
19001	2	23	11	26	13
19001	3	8	5	7	5
19001	4	3	5	11	5
19001	5	16	7	17	7
19001	6	17	7	29	11
19001	7	15	13	24	8
19001	8	8	5	14	1
19001	9	12	8	10	4
19501	0	11	3	22	12
19501	1	3	6	12	5
19501	2	23	12	35	15
19501	3	9	5	6	4
19501	4	4	5	12	10
19501	5	16	6	12	6
19501	6	18	6	25	17
19501	7	15	14	22	6
19501	8	8	6	9	6
19501	9	12	8	12	8
20001	0	11	4	23	6
20001	1	3	6	6	5
20001	2	24	13	36	18
20001	3	8	5	9	4
20001	4	4	5	10	7
20001	5	15	5	20	7
20001	6	16	6	32	13
20001	7	16	13	14	11
20001	8	7	5	12	8
20001	9	12	7	11	9
20501	0	12	4	21	6
20501	1	3	6	5	4
20501	2	23	12	40	20
20501	3	8	5	11	2
20501	4	4	5	19	4
20501	5	16	7	17	13
20501	6	17	5	29	20
20501	7	16	14	23	7
20501	8	8	6	13	6
20501	9	10	8	12	7
21001	0	17	4	7	4
21001	1	5	6	6	5
21001	2	32	16	18	12
21001	3	11	6	4	0
21001	4	7	6	12	5
21001	5	16	7	13	7
21001	6	23	14	18	7
21001	7	18	14	22	5
21001	8	11	8	6	1
21001	9	11	9	12	4
21501	0	17	4	17	6
21501	1	5	6	8	3
21501	2	30	17	24	15
21501	3	11	6	1	3
21501	4	6	6	14	2
21501	5	16	7	16	8
21501	6	22	13	27	14
21501	7	17	13	25	9
21501	8	10	8	13	6
21501	9	11	8	11	8
22001	0	17	4	20	5
22001	1	5	6	7	3
22001	2	29	18	31	13
22001	3	9	5	3	6
22001	4	7	6	13	6
22001	5	17	7	18	7
22001	6	27	11	28	11
22001	7	18	15	18	3
22001	8	11	7	7	3
22001	9	14	11	9	9
22501	0	17	4	8	1
22501	1	5	6	10	3
22501	2	30	18	33	12
22501	3	10	5	5	9
22501	4	7	6	11	1
22501	5	19	7	15	7
22501	6	25	15	26	9
22501	7	18	14	19	6
22501	8	11	8	5	6
22501	9	15	11	8	5
23001	0	18	4	13	2
23001	1	4	6	9	3
23001	2	30	18	19	18
23001	3	11	6	3	3
23001	4	9	7	12	2
23001	5	20	6	15	7
23001	6	28	15	23	6
23001	7	18	15	25	8
23001	8	10	8	6	5
23001	9	13	12	10	2
23501	0	17	4	21	6
23501	1	5	7	10	7
23501	2	30	18	33	14
23501	3	11	6	8	5
23501	4	8	7	15	6
23501	5	21	6	12	6
23501	6	26	15	21	11
23501	7	15	16	24	12
23501	8	11	8	6	3
23501	9	15	12	6	7
24001	0	18	4	17	6
24001	1	5	6	8	6
24001	2	31	18	22	11
24001	3	9	5	11	3
24001	4	9	5	9	3
24001	5	20	7	11	3
24001	6	27	14	28	5
24001	7	18	15	25	9
24001	8	11	7	16	5
24001	9	14	11	9	5
24501	0	20	3	17	7
24501	1	4	9	8	3
24501	2	34	17	29	6
24501	3	10	6	8	1
24501	4	10	7	8	4
24501	5	20	7	16	2
24501	6	28	15	37	13
24501	7	21	15	11	8
24501	8	12	7	14	5
24501	9	15	11	13	5
25001	0	18	4	15	5
